          Alpha           Beta         Energy       Variance  Mean Distance          Omega Accepted configs (%)
           0.64            0.6      0.0924413      0.0010464        21.3138           0.01       0.631594
           0.64           0.62      0.0926876     0.00106645        21.2539           0.01       0.630843
           0.64           0.64      0.0926892     0.00108666         21.252           0.01       0.631535
           0.64           0.66      0.0929068     0.00112428         21.219           0.01        0.63053
           0.64           0.68      0.0931275     0.00114359        21.1508           0.01       0.630288
           0.66            0.2      0.0861582    0.000319281        23.4059           0.01       0.637251
           0.66           0.22       0.086859    0.000370639        23.0622           0.01       0.636605
           0.66           0.24      0.0876895    0.000429367        22.6398           0.01       0.635959
           0.66           0.26      0.0881612    0.000477376        22.4454           0.01        0.63623
           0.66           0.28      0.0885521    0.000522998        22.3401           0.01       0.635327
           0.66            0.3      0.0892774    0.000583967        22.0642           0.01       0.635015
           0.66           0.32      0.0895034     0.00061373        21.9699           0.01       0.634114
           0.66           0.34      0.0899919     0.00066565        21.7762           0.01        0.63429
           0.66           0.36      0.0904051    0.000707673        21.6189           0.01       0.634839
           0.66           0.38      0.0906067    0.000748184        21.6403           0.01       0.633558
           0.66            0.4      0.0911471     0.00078963        21.4303           0.01       0.633377
           0.66           0.42      0.0914368    0.000832864        21.3363           0.01       0.633601
           0.66           0.44      0.0915247    0.000850957        21.3296           0.01       0.632571
           0.66           0.46      0.0916865    0.000890302        21.2906           0.01       0.632085
           0.66           0.48      0.0920501    0.000935992        21.1857           0.01       0.632773
           0.66            0.5      0.0921025    0.000959275        21.2232           0.01       0.632131
           0.66           0.52       0.092353    0.000981632        21.1061           0.01       0.631877
           0.66           0.54       0.092659     0.00101203        21.0061           0.01       0.631863
           0.66           0.56      0.0927075     0.00105087         21.024           0.01       0.631639
           0.66           0.58      0.0925863     0.00105561         21.082           0.01       0.631666
           0.66            0.6      0.0930976     0.00111844        20.9288           0.01       0.631665
           0.66           0.62      0.0931246     0.00112011        20.9155           0.01       0.630616
           0.66           0.64      0.0930784     0.00113117          20.92           0.01       0.631184
           0.66           0.66      0.0931419     0.00114617        20.9318           0.01         0.6308
           0.66           0.68       0.093262     0.00114228        20.8518           0.01        0.63126
           0.68            0.2      0.0863983    0.000329444        22.9824           0.01       0.637176
           0.68           0.22      0.0870477     0.00038203        22.6762           0.01       0.636404
           0.68           0.24      0.0877943    0.000442612        22.3777           0.01       0.636871
           0.68           0.26       0.088521    0.000496767        22.0948           0.01       0.635755
           0.68           0.28      0.0889784    0.000550179        21.9224           0.01       0.635309
           0.68            0.3      0.0894736    0.000597341        21.7076           0.01       0.635187
           0.68           0.32      0.0900999    0.000654021        21.5191           0.01       0.634343
           0.68           0.34      0.0903615    0.000693071        21.4238           0.01       0.634101
           0.68           0.36      0.0907095    0.000745976        21.3526           0.01       0.633463
           0.68           0.38      0.0910022    0.000782039         21.295           0.01       0.633614
           0.68            0.4      0.0913223    0.000825882        21.2417           0.01         0.6337
           0.68           0.42       0.091542    0.000858583        21.1334           0.01       0.633219
           0.68           0.44       0.091991    0.000905341        21.0236           0.01       0.632581
           0.68           0.46      0.0921638    0.000922195        20.9123           0.01       0.633264
           0.68           0.48      0.0925994    0.000979604        20.7978           0.01        0.63314
           0.68            0.5      0.0925943     0.00102198        20.8986           0.01       0.632638
           0.68           0.52      0.0925595     0.00100401        20.8204           0.01       0.631806
           0.68           0.54      0.0926446     0.00102998        20.8135           0.01        0.63243
           0.68           0.56      0.0930745     0.00108279        20.6879           0.01       0.631861
           0.68           0.58      0.0933042     0.00110938        20.6772           0.01        0.63104
           0.68            0.6      0.0933291     0.00111455        20.6576           0.01       0.631291
           0.68           0.62      0.0932745     0.00112403        20.6508           0.01       0.631072
           0.68           0.64      0.0937501     0.00118291        20.5196           0.01       0.631384
           0.68           0.66      0.0936438     0.00120724        20.6121           0.01        0.63081
           0.68           0.68      0.0938001     0.00122865        20.5502           0.01       0.630624
            0.7            0.2      0.0866918     0.00034901        22.6637           0.01       0.637245
            0.7           0.22      0.0873773    0.000404284        22.3511           0.01       0.636233
            0.7           0.24      0.0881897    0.000463379        22.0026           0.01       0.636105
            0.7           0.26      0.0886719    0.000512711        21.8432           0.01       0.635584
            0.7           0.28      0.0893523    0.000574779        21.5946           0.01       0.636098
            0.7            0.3      0.0899095    0.000629655        21.4732           0.01       0.634313
            0.7           0.32      0.0903044    0.000674755        21.2739           0.01       0.634643
            0.7           0.34      0.0906132    0.000716312        21.1863           0.01       0.634608
            0.7           0.36      0.0910068    0.000757692        21.1254           0.01       0.633635
            0.7           0.38      0.0913295    0.000808047        20.9808           0.01       0.633863
            0.7            0.4      0.0915823    0.000842433        20.9443           0.01       0.633142
            0.7           0.42      0.0921448    0.000899706        20.7332           0.01       0.633711
            0.7           0.44       0.092167    0.000905584        20.7338           0.01       0.632755
            0.7           0.46       0.092351    0.000948959        20.6754           0.01       0.632474
            0.7           0.48       0.092622    0.000974346        20.6518           0.01       0.632483
            0.7            0.5      0.0929747     0.00102672        20.5388           0.01       0.631596
            0.7           0.52      0.0932395     0.00106261        20.5094           0.01       0.632237
            0.7           0.54      0.0932932     0.00109881        20.5117           0.01       0.631484
            0.7           0.56       0.093407     0.00110905        20.4143           0.01       0.631367
            0.7           0.58      0.0935585     0.00115004        20.4081           0.01        0.63159
            0.7            0.6      0.0939039     0.00117896        20.3514           0.01       0.631159
            0.7           0.62      0.0939837      0.0012031        20.3088           0.01       0.631502
