          Alpha           Beta         Energy       Variance  Mean Distance          Omega Accepted configs (%)
           0.56           0.54        2.27315       0.263091        3.39032            0.5       0.636914
           0.56           0.56         2.2659       0.253433         3.3719            0.5       0.635846
           0.56           0.58         2.2658       0.260341        3.35771            0.5       0.635957
           0.56            0.6        2.25935       0.245919        3.34926            0.5       0.635899
           0.56           0.62        2.26389       0.251286        3.34429            0.5       0.634746
           0.56           0.64        2.26006       0.249429        3.33148            0.5        0.63668
           0.56           0.66        2.26227       0.255184        3.33878            0.5       0.635205
           0.56           0.68        2.25925       0.248214        3.33299            0.5       0.635693
           0.58            0.2        2.33782       0.304198        3.70552            0.5       0.644176
           0.58           0.22        2.32184       0.288194        3.64788            0.5       0.642528
           0.58           0.24        2.31638       0.282641         3.6172            0.5       0.642227
           0.58           0.26        2.30242       0.272869        3.58582            0.5       0.642444
           0.58           0.28        2.29236       0.265248        3.54983            0.5       0.642218
           0.58            0.3        2.27903       0.253475        3.51038            0.5       0.641459
           0.58           0.32        2.27411       0.251491        3.49259            0.5       0.640487
           0.58           0.34        2.27608       0.251281        3.48371            0.5        0.63941
           0.58           0.36        2.27054       0.244691        3.46014            0.5       0.639537
           0.58           0.38        2.25438       0.233567         3.4208            0.5        0.63919
           0.58            0.4        2.25733       0.238857        3.40816            0.5       0.638204
           0.58           0.42        2.24785       0.228256        3.38958            0.5       0.637578
           0.58           0.44        2.24902       0.231123        3.38789            0.5       0.637986
           0.58           0.46        2.24637       0.229908        3.37511            0.5       0.637329
           0.58           0.48         2.2424       0.224391        3.35966            0.5       0.637529
           0.58            0.5        2.23934       0.222262        3.33914            0.5       0.636656
           0.58           0.52        2.23871       0.223712        3.33635            0.5        0.63681
           0.58           0.54        2.23488       0.220164         3.3213            0.5       0.637114
           0.58           0.56        2.23989       0.222562        3.31435            0.5       0.636251
           0.58           0.58        2.23627       0.218771        3.31288            0.5       0.636088
           0.58            0.6        2.22391       0.209889        3.28033            0.5       0.636484
           0.58           0.62        2.22947       0.215766        3.29061            0.5       0.635931
           0.58           0.64        2.22722       0.213403        3.27259            0.5       0.634955
           0.58           0.66        2.22885       0.212369        3.27505            0.5       0.635206
           0.58           0.68        2.22697       0.216236        3.27044            0.5       0.634389
            0.6            0.2        2.30165       0.261381        3.64241            0.5       0.643996
            0.6           0.22        2.28037        0.24521        3.57682            0.5       0.643401
            0.6           0.24        2.27349         0.2392        3.55559            0.5       0.642328
            0.6           0.26        2.26172       0.231352        3.50568            0.5       0.643371
            0.6           0.28          2.255       0.228125        3.47996            0.5       0.641465
            0.6            0.3        2.25122       0.222294        3.45003            0.5       0.641263
            0.6           0.32        2.24437       0.216287        3.43075            0.5       0.640453
            0.6           0.34        2.23696       0.212613        3.41262            0.5       0.640395
            0.6           0.36         2.2377       0.212636        3.39885            0.5       0.640171
            0.6           0.38        2.22666       0.205715        3.37018            0.5       0.639545
            0.6            0.4        2.22303       0.200894        3.35997            0.5       0.639144
            0.6           0.42        2.22193       0.198312        3.34272            0.5       0.638999
            0.6           0.44        2.22138       0.198525        3.32881            0.5       0.637881
            0.6           0.46        2.22034       0.194322         3.3233            0.5       0.637642
            0.6           0.48        2.21253       0.190563        3.30177            0.5       0.637713
            0.6            0.5        2.21167       0.194391        3.28716            0.5       0.637086
            0.6           0.52        2.20542       0.187975        3.27278            0.5       0.637444
            0.6           0.54         2.2011       0.185141        3.26134            0.5       0.636772
            0.6           0.56        2.20483        0.18686        3.25772            0.5        0.63639
            0.6           0.58        2.20384       0.184126        3.23183            0.5       0.636826
            0.6            0.6        2.20074       0.183923        3.22711            0.5       0.635727
            0.6           0.62         2.2013       0.184989        3.24072            0.5       0.635589
            0.6           0.64        2.19601       0.181342        3.22523            0.5       0.634778
            0.6           0.66        2.19787       0.182123        3.22035            0.5       0.636245
            0.6           0.68        2.19851       0.184545        3.21341            0.5       0.634747
           0.62            0.2        2.26214       0.222144        3.56653            0.5       0.643793
           0.62           0.22        2.25063       0.213302        3.52482            0.5       0.643949
           0.62           0.24        2.24447       0.209505        3.49403            0.5       0.643003
           0.62           0.26        2.22815       0.196095        3.44874            0.5       0.642254
           0.62           0.28        2.22198       0.190481        3.42286            0.5        0.64162
           0.62            0.3        2.22001       0.187475        3.41197            0.5       0.640782
           0.62           0.32        2.21469       0.187538        3.38453            0.5       0.640473
           0.62           0.34        2.20741       0.180786        3.34867            0.5       0.640244
           0.62           0.36        2.20694       0.180886        3.33861            0.5       0.638811
           0.62           0.38        2.19988        0.17556        3.32138            0.5       0.639764
           0.62            0.4        2.20251       0.177104        3.30793            0.5       0.638897
           0.62           0.42        2.19398        0.16966        3.28498            0.5       0.638836
           0.62           0.44        2.19105       0.169012        3.26721            0.5       0.637988
           0.62           0.46        2.19004        0.16911        3.26676            0.5       0.637856
           0.62           0.48        2.18772       0.164916        3.24952            0.5       0.636614
           0.62            0.5        2.18528       0.165688        3.23456            0.5       0.636886
           0.62           0.52        2.17898        0.16089        3.21481            0.5       0.636869
           0.62           0.54        2.17512       0.159054        3.20152            0.5       0.637017
           0.62           0.56         2.1732       0.156345        3.20022            0.5       0.636774
           0.62           0.58        2.17643       0.162089         3.1902            0.5       0.636488
           0.62            0.6        2.17993       0.159869        3.19863            0.5       0.635989
           0.62           0.62        2.17039       0.155517        3.17021            0.5       0.636189
           0.62           0.64        2.17368       0.158312        3.17972            0.5       0.634661
           0.62           0.66        2.17213       0.157972        3.16584            0.5       0.635276
           0.62           0.68        2.16916       0.153128        3.15543            0.5       0.635933
           0.64            0.2        2.23325       0.193101        3.51917            0.5       0.644144
           0.64           0.22        2.22635       0.185078        3.48313            0.5       0.642844
           0.64           0.24        2.20815       0.174024        3.43221            0.5       0.642581
           0.64           0.26        2.20934       0.175379        3.41465            0.5       0.641937
           0.64           0.28        2.19594       0.163149        3.36913            0.5       0.641631
           0.64            0.3        2.18976        0.16271        3.35125            0.5       0.641673
           0.64           0.32        2.18347       0.154355        3.31927            0.5       0.641095
           0.64           0.34        2.17839       0.151183        3.29939            0.5        0.64122
           0.64           0.36        2.17813       0.151235        3.28015            0.5        0.64038
           0.64           0.38        2.17531       0.149289        3.26711            0.5       0.639348
           0.64            0.4        2.16906       0.145366        3.25405            0.5       0.638566
           0.64           0.42        2.16862       0.148255        3.23832            0.5       0.638776
           0.64           0.44        2.16825       0.144188        3.22342            0.5       0.638759
           0.64           0.46        2.16267       0.140078        3.19897            0.5       0.638431
           0.64           0.48        2.16407       0.140276        3.20331            0.5       0.636444
           0.64            0.5        2.15652       0.135536        3.18035            0.5        0.63747
           0.64           0.52        2.15729       0.138558        3.17482            0.5       0.637413
           0.64           0.54         2.1549       0.134004        3.16544            0.5       0.637191
           0.64           0.56        2.15226       0.135504          3.157            0.5       0.636945
           0.64           0.58         2.1513       0.134689        3.14888            0.5       0.636429
           0.64            0.6        2.15223       0.135171        3.13228            0.5       0.635676
           0.64           0.62        2.15458       0.135897        3.14262            0.5       0.636086
           0.64           0.64        2.14984       0.133261          3.127            0.5        0.63608
           0.64           0.66        2.14527       0.130346        3.10868            0.5        0.63557
           0.64           0.68        2.14559       0.131068        3.10365            0.5       0.635022
           0.66            0.2          2.207       0.166214        3.45568            0.5       0.643506
           0.66           0.22        2.19732       0.158579        3.42391            0.5       0.643252
           0.66           0.24        2.18881       0.151821        3.39172            0.5       0.642922
           0.66           0.26        2.17272       0.141312        3.34669            0.5       0.642814
           0.66           0.28        2.17333       0.143067        3.32257            0.5       0.641519
           0.66            0.3        2.16667       0.138096        3.29656            0.5       0.641662
           0.66           0.32        2.16342       0.133842        3.27773            0.5       0.640306
           0.66           0.34        2.15653        0.12918        3.25537            0.5       0.639758
           0.66           0.36         2.1513       0.128706         3.2283            0.5       0.639962
           0.66           0.38        2.15065       0.125252        3.21525            0.5        0.63937
           0.66            0.4        2.14709       0.123609        3.20212            0.5       0.639262
           0.66           0.42        2.14284       0.118944        3.18447            0.5        0.63812
           0.66           0.44        2.13991       0.118244        3.16432            0.5       0.638508
           0.66           0.46        2.13751       0.117383         3.1576            0.5        0.63778
           0.66           0.48        2.13847       0.117163        3.13664            0.5       0.638242
           0.66            0.5        2.13649       0.114173        3.12949            0.5       0.637711
           0.66           0.52        2.13391       0.114233        3.12437            0.5       0.636605
           0.66           0.54         2.1313       0.113286        3.11419            0.5       0.636865
           0.66           0.56        2.13407       0.114739        3.11533            0.5       0.636342
           0.66           0.58        2.13238       0.114213        3.10362            0.5       0.635172
           0.66            0.6        2.13337       0.116625         3.0977            0.5        0.63485
           0.66           0.62        2.12678       0.111869        3.07423            0.5       0.635401
           0.66           0.64        2.12946       0.115425        3.06949            0.5       0.636392
           0.66           0.66        2.12301        0.10998         3.0596            0.5       0.635811
           0.66           0.68        2.12602       0.111599        3.06534            0.5       0.635819
           0.68            0.2        2.18014        0.14086        3.40762            0.5         0.6442
           0.68           0.22         2.1698       0.136402        3.36881            0.5       0.643603
           0.68           0.24        2.16126       0.128231        3.32962            0.5       0.642829
           0.68           0.26        2.15209       0.120402        3.29083            0.5       0.642159
           0.68           0.28        2.15059       0.119408         3.2691            0.5       0.642369
           0.68            0.3        2.14479       0.114727        3.25227            0.5       0.641291
           0.68           0.32        2.13817       0.110838         3.2227            0.5       0.640301
           0.68           0.34        2.13388        0.10717        3.19788            0.5       0.640402
           0.68           0.36        2.12922       0.104813        3.18257            0.5       0.640137
           0.68           0.38        2.13106       0.105429        3.17498            0.5       0.638851
           0.68            0.4        2.12384       0.101368        3.14334            0.5       0.638875
           0.68           0.42        2.12248      0.0991429        3.13084            0.5       0.638828
           0.68           0.44        2.11753      0.0976621        3.12362            0.5       0.638873
           0.68           0.46        2.11969      0.0986756        3.10272            0.5       0.638226
           0.68           0.48        2.12175       0.100241        3.10412            0.5       0.637846
           0.68            0.5        2.11794      0.0980908         3.0955            0.5       0.637192
           0.68           0.52          2.114      0.0955032        3.07234            0.5       0.637189
           0.68           0.54        2.11432      0.0956939        3.07173            0.5       0.636255
           0.68           0.56        2.11471      0.0983177        3.07575            0.5       0.636733
           0.68           0.58        2.11318      0.0959761        3.05789            0.5       0.635999
           0.68            0.6         2.1104      0.0944059        3.03833            0.5       0.636295
           0.68           0.62        2.11057      0.0958951        3.03362            0.5       0.635147
           0.68           0.64        2.11103      0.0959967         3.0302            0.5       0.636049
           0.68           0.66        2.11191      0.0952211         3.0382            0.5       0.635608
           0.68           0.68        2.10724       0.094071        3.00492            0.5       0.634959
            0.7            0.2         2.1566       0.120607         3.3555            0.5       0.643576
            0.7           0.22        2.14929       0.113803        3.32252            0.5         0.6436
            0.7           0.24        2.13913       0.106667        3.29112            0.5       0.642428
            0.7           0.26        2.13312       0.102662        3.24225            0.5       0.642306
            0.7           0.28        2.12698      0.0999005        3.22404            0.5       0.641674
            0.7            0.3        2.11968      0.0944163        3.19425            0.5       0.641526
            0.7           0.32         2.1163      0.0919293        3.17447            0.5       0.640332
            0.7           0.34        2.11389      0.0897362        3.14455            0.5       0.640102
            0.7           0.36        2.11315      0.0892508        3.13535            0.5       0.640374
            0.7           0.38        2.10883      0.0850324        3.11623            0.5       0.639727
            0.7            0.4        2.10953      0.0862064        3.12024            0.5       0.638789
            0.7           0.42        2.10664      0.0844597        3.08829            0.5       0.639021
            0.7           0.44        2.10518      0.0833915         3.0767            0.5       0.638045
            0.7           0.46        2.10292      0.0818127        3.07512            0.5       0.638244
            0.7           0.48        2.10461      0.0839946         3.0557            0.5       0.637087
            0.7            0.5        2.10089       0.081674        3.05034            0.5       0.637076
            0.7           0.52          2.098      0.0806512        3.04152            0.5       0.637501
            0.7           0.54        2.09785      0.0806892        3.01363            0.5       0.636937
            0.7           0.56        2.09717      0.0795312        3.01112            0.5       0.636632
            0.7           0.58        2.09128      0.0777523        2.99952            0.5       0.636871
            0.7            0.6        2.09241      0.0781185        3.00106            0.5       0.635601
            0.7           0.62        2.09389       0.079586        3.00073            0.5       0.635774
            0.7           0.64        2.09233      0.0784595        2.98395            0.5       0.636093
            0.7           0.66        2.09348      0.0799215        2.98366            0.5       0.635719
            0.7           0.68        2.09134      0.0785105        2.96922            0.5       0.635139
           0.72            0.2         2.1367       0.100714        3.30963            0.5       0.644514
           0.72           0.22        2.12669      0.0941784        3.26206            0.5       0.644563
           0.72           0.24        2.11948      0.0888869        3.23565            0.5       0.642793
           0.72           0.26        2.11549      0.0861795        3.20006            0.5       0.642344
           0.72           0.28         2.1062      0.0805305        3.17168            0.5       0.641349
           0.72            0.3        2.10394      0.0783948        3.15007            0.5       0.640783
           0.72           0.32        2.10494      0.0786449        3.14104            0.5       0.640211
           0.72           0.34         2.0964      0.0750877        3.11197            0.5       0.640228
           0.72           0.36        2.10069      0.0753382        3.10738            0.5       0.639739
           0.72           0.38         2.0932      0.0707895        3.08342            0.5       0.638796
           0.72            0.4        2.09388      0.0713651        3.07564            0.5       0.638431
           0.72           0.42        2.08714      0.0687881         3.0394            0.5       0.638366
           0.72           0.44        2.08798      0.0683061        3.03897            0.5       0.638186
           0.72           0.46        2.08682      0.0669438        3.03171            0.5       0.637892
           0.72           0.48        2.08746      0.0682888        3.02487            0.5       0.638045
           0.72            0.5        2.08163      0.0659606        2.99738            0.5       0.637452
           0.72           0.52        2.08403      0.0679181         2.9931            0.5       0.636743
           0.72           0.54        2.08228      0.0663951        2.98449            0.5       0.636797
           0.72           0.56        2.07985      0.0658422        2.97774            0.5       0.637085
           0.72           0.58        2.08532      0.0684659        2.97838            0.5       0.635886
           0.72            0.6        2.08041      0.0663136        2.96028            0.5       0.636236
           0.72           0.62        2.07887      0.0658311        2.95367            0.5       0.635813
           0.72           0.64        2.07783      0.0654886        2.94403            0.5       0.635633
           0.72           0.66        2.07867      0.0661045        2.94309            0.5       0.635557
           0.72           0.68        2.07927      0.0662467        2.93158            0.5        0.63446
           0.74            0.2        2.11536      0.0834484        3.25078            0.5       0.644372
           0.74           0.22        2.11095      0.0783601        3.21782            0.5        0.64344
           0.74           0.24        2.10323      0.0750601        3.18618            0.5       0.643344
           0.74           0.26        2.09748      0.0701591        3.16004            0.5       0.642018
           0.74           0.28        2.09497       0.068669        3.13329            0.5       0.642033
           0.74            0.3        2.08888      0.0648348        3.10596            0.5       0.641157
           0.74           0.32        2.08639      0.0616027        3.09445            0.5       0.641425
           0.74           0.34        2.08165      0.0605434         3.0703            0.5        0.63983
           0.74           0.36        2.08073      0.0588838        3.04972            0.5       0.640106
           0.74           0.38         2.0775       0.057374         3.0422            0.5       0.638707
           0.74            0.4         2.0771      0.0569813        3.02868            0.5        0.63956
           0.74           0.42        2.07345      0.0562257        3.00784            0.5       0.638165
           0.74           0.44        2.07526      0.0565122        3.00135            0.5       0.638017
           0.74           0.46        2.07381      0.0551212        2.99613            0.5       0.638019
           0.74           0.48        2.07073      0.0550559        2.96411            0.5       0.638433
           0.74            0.5        2.06929      0.0540254        2.96331            0.5       0.637222
           0.74           0.52        2.06969      0.0541515        2.95118            0.5       0.636755
           0.74           0.54        2.06829      0.0545907        2.94959            0.5       0.637242
           0.74           0.56        2.06845      0.0538507        2.93234            0.5       0.636115
           0.74           0.58        2.06471      0.0533382        2.92455            0.5       0.637392
           0.74            0.6        2.06681      0.0542132        2.91742            0.5       0.636264
           0.74           0.62        2.06516      0.0546888        2.90291            0.5       0.635821
           0.74           0.64        2.06669      0.0549485        2.91289            0.5       0.635729
           0.74           0.66        2.06607       0.055583        2.90383            0.5       0.635501
           0.74           0.68        2.06284      0.0542856        2.89004            0.5       0.635857
           0.76            0.2        2.09969      0.0679866        3.21969            0.5       0.644305
           0.76           0.22        2.09023      0.0630217        3.16653            0.5       0.644109
           0.76           0.24        2.08972      0.0613138        3.15646            0.5       0.642771
           0.76           0.26        2.08306      0.0575656        3.12325            0.5       0.642306
           0.76           0.28        2.07622      0.0537886        3.08281            0.5        0.64221
           0.76            0.3        2.07673      0.0521757        3.08077            0.5       0.640627
           0.76           0.32        2.07297      0.0506759        3.06328            0.5       0.640506
           0.76           0.34        2.06819      0.0488424        3.02529            0.5       0.641172
           0.76           0.36        2.06585      0.0471544         3.0135            0.5       0.639429
           0.76           0.38        2.06757      0.0477068        3.00349            0.5       0.639431
           0.76            0.4        2.06312      0.0459686        2.97949            0.5        0.63943
           0.76           0.42        2.06335      0.0455607        2.97028            0.5       0.639085
           0.76           0.44        2.06366      0.0453442        2.96532            0.5       0.638786
           0.76           0.46        2.06069      0.0444917        2.95582            0.5       0.638101
           0.76           0.48        2.05674      0.0439787        2.92564            0.5       0.638118
           0.76            0.5        2.06046      0.0456747        2.93055            0.5       0.638267
           0.76           0.52        2.05735      0.0442047        2.91703            0.5       0.637813
           0.76           0.54        2.05884      0.0451311        2.90911            0.5       0.636929
           0.76           0.56        2.05647       0.044383        2.89917            0.5       0.636455
           0.76           0.58        2.05543      0.0446171        2.89029            0.5       0.636305
           0.76            0.6        2.05533      0.0450933        2.88561            0.5       0.635931
           0.76           0.62        2.05474      0.0450033        2.86566            0.5       0.636399
           0.76           0.64         2.0563       0.045927        2.87291            0.5       0.635603
           0.76           0.66        2.05568      0.0458735        2.85985            0.5       0.635069
           0.76           0.68        2.05231      0.0450089        2.86277            0.5       0.635046
           0.78            0.2        2.08407      0.0553629        3.16843            0.5       0.644276
           0.78           0.22        2.07741      0.0518384         3.1287            0.5       0.644094
           0.78           0.24        2.07165      0.0475396        3.10133            0.5       0.642631
           0.78           0.26        2.06719      0.0448217        3.07163            0.5       0.641949
           0.78           0.28        2.06433      0.0429583        3.05454            0.5       0.641493
           0.78            0.3        2.06115      0.0412807        3.03588            0.5       0.641283
           0.78           0.32        2.05955      0.0403138        3.01189            0.5       0.641339
           0.78           0.34        2.05728      0.0387587        3.00204            0.5       0.640958
           0.78           0.36        2.05565      0.0382732        2.97335            0.5       0.639887
           0.78           0.38        2.05369      0.0371162        2.96554            0.5       0.639283
           0.78            0.4        2.05181       0.036421        2.94779            0.5       0.639049
           0.78           0.42        2.04926      0.0356337        2.93205            0.5       0.639532
           0.78           0.44        2.04892      0.0358974        2.91255            0.5        0.63837
           0.78           0.46        2.04791      0.0351761        2.89578            0.5       0.637899
           0.78           0.48        2.04867      0.0357219        2.89896            0.5       0.637614
           0.78            0.5        2.04803      0.0355252        2.88258            0.5       0.638259
           0.78           0.52        2.04771      0.0359662        2.88225            0.5       0.637081
           0.78           0.54        2.04472      0.0354617        2.85375            0.5       0.637716
           0.78           0.56        2.04575      0.0358676        2.86114            0.5       0.637417
           0.78           0.58        2.04338      0.0354618        2.85213            0.5       0.635639
           0.78            0.6        2.04442      0.0362155         2.8468            0.5       0.636198
           0.78           0.62        2.04321       0.036672        2.84237            0.5       0.636308
           0.78           0.64        2.04496      0.0374811         2.8308            0.5       0.636231
           0.78           0.66         2.0427      0.0372444         2.8258            0.5        0.63547
           0.78           0.68        2.04316      0.0384401        2.82699            0.5       0.634506
            0.8            0.2        2.06857      0.0440317        3.11802            0.5       0.644675
            0.8           0.22        2.06549       0.041311        3.10247            0.5       0.643798
            0.8           0.24        2.05674      0.0370192        3.05429            0.5       0.643021
            0.8           0.26        2.05607      0.0355055        3.03609            0.5       0.642609
            0.8           0.28        2.05458      0.0349721        3.01557            0.5       0.641569
            0.8            0.3        2.04891      0.0319568        2.98746            0.5       0.641811
            0.8           0.32        2.04795       0.030915        2.97578            0.5       0.641071
            0.8           0.34        2.04716      0.0301806         2.9514            0.5       0.640469
            0.8           0.36        2.04497      0.0294888        2.94673            0.5       0.639732
            0.8           0.38        2.04529      0.0293606        2.93167            0.5       0.639106
            0.8            0.4        2.04321      0.0287884        2.91236            0.5        0.63955
            0.8           0.42        2.04134      0.0287232        2.88842            0.5       0.639124
            0.8           0.44        2.03986      0.0282614        2.88289            0.5       0.638171
            0.8           0.46        2.03928      0.0283417        2.86839            0.5       0.638262
            0.8           0.48        2.03881      0.0281696         2.8649            0.5       0.637343
            0.8            0.5        2.03776      0.0287588        2.84598            0.5       0.637264
            0.8           0.52        2.03605      0.0278038        2.83854            0.5       0.637226
            0.8           0.54        2.03647      0.0287111        2.83414            0.5       0.637825
            0.8           0.56        2.03658      0.0291412        2.83023            0.5        0.63691
            0.8           0.58        2.03606      0.0290707        2.81418            0.5       0.636673
            0.8            0.6        2.03692      0.0300503        2.80932            0.5       0.636465
            0.8           0.62        2.03746      0.0310001        2.80696            0.5       0.635744
            0.8           0.64        2.03732      0.0315783        2.80481            0.5       0.635346
            0.8           0.66        2.03635      0.0314958        2.78305            0.5       0.635692
            0.8           0.68        2.03642      0.0323471        2.78256            0.5       0.636002
           0.82            0.2        2.05714      0.0348784        3.08624            0.5       0.643826
           0.82           0.22        2.05273      0.0317647        3.05303            0.5       0.643025
           0.82           0.24        2.04914       0.029461        3.02406            0.5       0.643355
           0.82           0.26        2.04417      0.0267878        2.99471            0.5       0.642593
           0.82           0.28        2.04274        0.02581         2.9757            0.5       0.641613
           0.82            0.3        2.04031      0.0241948        2.95667            0.5       0.641605
           0.82           0.32        2.03762      0.0230973         2.9273            0.5       0.641238
           0.82           0.34        2.03715      0.0225953        2.91813            0.5       0.639731
           0.82           0.36        2.03579       0.022325        2.90157            0.5       0.639513
           0.82           0.38        2.03338       0.021624        2.88207            0.5       0.640723
           0.82            0.4        2.03414      0.0219924        2.86913            0.5       0.639669
           0.82           0.42        2.03303      0.0217697        2.85429            0.5        0.63906
           0.82           0.44        2.03088      0.0215048        2.84509            0.5       0.638069
           0.82           0.46        2.02994       0.021614        2.83892            0.5       0.638664
           0.82           0.48        2.03061      0.0223187        2.82267            0.5       0.638395
           0.82            0.5        2.02992      0.0224282        2.81369            0.5       0.638169
           0.82           0.52        2.02995      0.0227235        2.80793            0.5       0.636671
