          Alpha           Beta         Energy       Variance  Mean Distance          Omega
           0.64           0.26        4.18949       0.775687        2.38321              1
           0.64           0.28         4.1856        0.76516        2.37225              1
           0.64            0.3        4.16395       0.719492        2.35181              1
           0.64           0.32         4.1563       0.733209        2.34022              1
           0.64           0.34        4.15156       0.708112        2.32775              1
           0.64           0.36         4.1354       0.689984        2.30946              1
           0.64           0.38        4.12666       0.673772        2.29959              1
           0.64            0.4        4.12094       0.657474        2.29415              1
           0.64           0.42        4.12218       0.650459        2.29134              1
           0.64           0.44        4.12086       0.655238        2.27986              1
           0.64           0.46        4.11527       0.643716        2.27319              1
           0.64           0.48        4.10057       0.633134        2.26318              1
           0.64            0.5        4.09096       0.614994        2.24952              1
           0.64           0.52        4.10213        0.63342        2.25523              1
           0.64           0.54        4.08781       0.609987        2.23837              1
           0.64           0.56         4.0838       0.603794        2.23385              1
           0.64           0.58        4.07981       0.605094        2.22052              1
           0.64            0.6        4.08251       0.600837        2.22788              1
           0.64           0.62        4.08058       0.596832        2.22491              1
           0.64           0.64        4.06922       0.581629        2.21382              1
           0.64           0.66        4.07146       0.588515        2.20709              1
           0.64           0.68         4.0737       0.584637        2.20654              1
           0.66            0.2        4.17458       0.735733        2.40113              1
           0.66           0.22        4.15274       0.701508         2.3798              1
           0.66           0.24        4.13918        0.67323         2.3568              1
           0.66           0.26        4.13137       0.660227        2.34534              1
           0.66           0.28        4.12482       0.646352        2.33368              1
           0.66            0.3        4.11223       0.626867        2.31562              1
           0.66           0.32          4.096       0.601439        2.29502              1
           0.66           0.34        4.08947       0.592008        2.28867              1
           0.66           0.36        4.07767       0.582382        2.26691              1
           0.66           0.38        4.08323       0.576601        2.27381              1
           0.66            0.4        4.07454       0.577726        2.25977              1
           0.66           0.42        4.06431       0.556459        2.25011              1
           0.66           0.44        4.06422       0.547534        2.24623              1
           0.66           0.46        4.06376       0.546407        2.23729              1
           0.66           0.48        4.05979       0.539133        2.23284              1
           0.66            0.5        4.04491       0.516809        2.21832              1
           0.66           0.52        4.04863       0.524002        2.21221              1
           0.66           0.54        4.04385       0.525525        2.21354              1
           0.66           0.56        4.04558       0.520488        2.20318              1
           0.66           0.58        4.03085       0.500824        2.18987              1
           0.66            0.6        4.03402       0.503518        2.19224              1
           0.66           0.62        4.03053       0.497179        2.18695              1
           0.66           0.64        4.02587       0.489658        2.18234              1
           0.66           0.66        4.02368       0.494642        2.17546              1
           0.66           0.68        4.03029         0.5001        2.17538              1
           0.68            0.2        4.12681       0.623618          2.371              1
           0.68           0.22        4.10604       0.599115        2.34454              1
           0.68           0.24        4.09383       0.579815        2.32258              1
           0.68           0.26        4.09147       0.565941        2.31595              1
           0.68           0.28        4.07148       0.545506        2.29086              1
           0.68            0.3        4.06745       0.527172        2.28543              1
           0.68           0.32        4.04522       0.503974        2.26129              1
           0.68           0.34        4.05068       0.511771        2.26109              1
           0.68           0.36        4.03973       0.495586        2.24814              1
           0.68           0.38         4.0339       0.487839        2.23485              1
           0.68            0.4        4.02707       0.470011        2.23151              1
           0.68           0.42        4.02928       0.472349        2.21924              1
           0.68           0.44         4.0179        0.46261        2.20176              1
           0.68           0.46        4.01373       0.454565            2.2              1
           0.68           0.48        4.01085       0.447025         2.1933              1
           0.68            0.5        4.00813       0.452406         2.1845              1
           0.68           0.52         4.0012       0.439467        2.17476              1
           0.68           0.54        3.99978       0.432146        2.17519              1
           0.68           0.56        3.99975       0.433579        2.17403              1
           0.68           0.58        4.00358       0.439923        2.17306              1
           0.68            0.6        3.98437       0.418034         2.1585              1
           0.68           0.62        3.98684       0.415464         2.1557              1
           0.68           0.64        3.99258       0.420683         2.1506              1
           0.68           0.66        3.99061       0.423746        2.14831              1
           0.68           0.68        3.98577         0.4151         2.1406              1
            0.7            0.2        4.07847       0.536953        2.33192              1
            0.7           0.22        4.06028       0.515875        2.30692              1
            0.7           0.24        4.04436       0.489785        2.28286              1
            0.7           0.26        4.04844        0.48919        2.28104              1
            0.7           0.28        4.03005       0.463892        2.25775              1
            0.7            0.3        4.02448       0.453157        2.25153              1
            0.7           0.32        4.01135       0.431491        2.24163              1
            0.7           0.34        4.00911        0.42705        2.22363              1
            0.7           0.36        3.99821       0.420183        2.21465              1
            0.7           0.38        3.99645       0.413592        2.20957              1
