n = 1000
x              v
0.326326       0.641164
0.327327        0.64054
0.328328       0.639913
0.329329       0.639281
0.33033       0.638646
0.331331       0.638007
0.332332       0.637364
0.333333       0.636718
0.334334       0.636068
0.335335       0.635414
0.336336       0.634757
0.337337       0.634097
0.338338       0.633433
0.339339       0.632765
0.34034       0.632095
0.341341       0.631421
0.342342       0.630743
0.343343       0.630062
0.344344       0.629378
0.345345       0.628691
0.346346       0.628001
0.347347       0.627307
0.348348       0.626611
0.349349       0.625911
0.35035       0.625208
0.351351       0.624502
0.352352       0.623793
0.353353       0.623081
0.354354       0.622366
0.355355       0.621649
0.356356       0.620928
0.357357       0.620205
0.358358       0.619478
0.359359       0.618749
0.36036       0.618017
0.361361       0.617283
0.362362       0.616545
0.363363       0.615805
0.364364       0.615063
0.365365       0.614317
0.366366       0.613569
0.367367       0.612819
0.368368       0.612066
0.369369        0.61131
0.37037       0.610552
0.371371       0.609791
0.372372       0.609028
0.373373       0.608262
0.374374       0.607495
0.375375       0.606724
0.376376       0.605951
0.377377       0.605176
0.378378       0.604399
0.379379       0.603619
0.38038       0.602837
0.381381       0.602053
0.382382       0.601267
0.383383       0.600478
0.384384       0.599687
0.385385       0.598895
0.386386       0.598099
0.387387       0.597302
0.388388       0.596503
0.389389       0.595702
0.39039       0.594898
0.391391       0.594093
0.392392       0.593285
0.393393       0.592476
0.394394       0.591664
0.395395       0.590851
0.396396       0.590035
0.397397       0.589218
0.398398       0.588399
0.399399       0.587578
0.4004       0.586755
0.401401        0.58593
0.402402       0.585104
0.403403       0.584275
0.404404       0.583445
0.405405       0.582613
0.406406       0.581779
0.407407       0.580944
0.408408       0.580107
0.409409       0.579268
0.41041       0.578427
0.411411       0.577585
0.412412       0.576741
0.413413       0.575896
0.414414       0.575049
0.415415         0.5742
0.416416        0.57335
0.417417       0.572498
0.418418       0.571644
0.419419       0.570789
0.42042       0.569933
0.421421       0.569075
0.422422       0.568216
0.423423       0.567355
0.424424       0.566492
0.425425       0.565628
0.426426       0.564763
0.427427       0.563896
0.428428       0.563028
0.429429       0.562159
0.43043       0.561288
0.431431       0.560415
0.432432       0.559542
0.433433       0.558667
0.434434        0.55779
0.435435       0.556913
0.436436       0.556034
0.437437       0.555154
0.438438       0.554272
0.439439        0.55339
0.44044       0.552506
0.441441        0.55162
0.442442       0.550734
0.443443       0.549846
0.444444       0.548957
0.445445       0.548067
0.446446       0.547176
0.447447       0.546284
0.448448        0.54539
0.449449       0.544496
0.45045         0.5436
0.451451       0.542703
0.452452       0.541805
0.453453       0.540906
0.454454       0.540006
0.455455       0.539104
0.456456       0.538202
0.457457       0.537299
0.458458       0.536394
0.459459       0.535489
0.46046       0.534582
0.461461       0.533675
0.462462       0.532766
0.463463       0.531857
0.464464       0.530946
0.465465       0.530035
0.466466       0.529122
0.467467       0.528209
0.468468       0.527295
0.469469       0.526379
0.47047       0.525463
0.471471       0.524546
0.472472       0.523628
0.473473       0.522709
0.474474       0.521789
0.475475       0.520869
0.476476       0.519947
0.477477       0.519025
0.478478       0.518102
0.479479       0.517177
0.48048       0.516252
0.481481       0.515327
0.482482         0.5144
0.483483       0.513473
0.484484       0.512544
0.485485       0.511615
0.486486       0.510686
0.487487       0.509755
0.488488       0.508824
0.489489       0.507892
0.49049       0.506959
0.491491       0.506025
0.492492       0.505091
0.493493       0.504156
0.494494        0.50322
0.495495       0.502283
0.496496       0.501346
0.497497       0.500408
0.498498       0.499469
0.499499        0.49853
0.500501        0.49759
0.501502       0.496649
0.502503       0.495708
0.503504       0.494766
0.504505       0.493823
0.505506        0.49288
0.506507       0.491936
0.507508       0.490991
0.508509       0.490046
0.50951         0.4891
0.510511       0.488153
0.511512       0.487206
0.512513       0.486258
0.513514        0.48531
0.514515       0.484361
0.515516       0.483411
0.516517       0.482461
0.517518        0.48151
0.518519       0.480559
0.51952       0.479607
0.520521       0.478655
0.521522       0.477702
0.522523       0.476748
0.523524       0.475794
0.524525       0.474839
0.525526       0.473884
0.526527       0.472929
0.527528       0.471972
0.528529       0.471016
0.52953       0.470058
0.530531       0.469101
0.531532       0.468142
0.532533       0.467184
0.533534       0.466224
0.534535       0.465265
0.535536       0.464304
0.536537       0.463344
0.537538       0.462382
0.538539       0.461421
0.53954       0.460459
0.540541       0.459496
0.541542       0.458533
0.542543       0.457569
0.543544       0.456606
0.544545       0.455641
0.545546       0.454676
0.546547       0.453711
0.547548       0.452745
0.548549       0.451779
0.54955       0.450813
0.550551       0.449846
0.551552       0.448878
0.552553       0.447911
0.553554       0.446942
0.554555       0.445974
0.555556       0.445005
0.556557       0.444035
0.557558       0.443066
0.558559       0.442096
0.55956       0.441125
0.560561       0.440154
0.561562       0.439183
0.562563       0.438211
0.563564       0.437239
0.564565       0.436267
0.565566       0.435294
0.566567       0.434321
0.567568       0.433348
0.568569       0.432374
0.56957         0.4314
0.570571       0.430425
0.571572        0.42945
0.572573       0.428475
0.573574         0.4275
0.574575       0.426524
0.575576       0.425548
0.576577       0.424571
0.577578       0.423594
0.578579       0.422617
0.57958        0.42164
0.580581       0.420662
0.581582       0.419684
0.582583       0.418706
0.583584       0.417727
0.584585       0.416748
0.585586       0.415769
0.586587        0.41479
0.587588        0.41381
0.588589        0.41283
0.58959       0.411849
0.590591       0.410869
0.591592       0.409888
0.592593       0.408906
0.593594       0.407925
0.594595       0.406943
0.595596       0.405961
0.596597       0.404979
0.597598       0.403996
0.598599       0.403014
0.5996        0.40203
0.600601       0.401047
0.601602       0.400064
0.602603        0.39908
0.603604       0.398096
0.604605       0.397111
0.605606       0.396127
0.606607       0.395142
0.607608       0.394157
0.608609       0.393172
0.60961       0.392186
0.610611       0.391201
0.611612       0.390215
0.612613       0.389228
0.613614       0.388242
0.614615       0.387255
0.615616       0.386269
0.616617       0.385282
0.617618       0.384294
0.618619       0.383307
0.61962       0.382319
0.620621       0.381331
0.621622       0.380343
0.622623       0.379355
0.623624       0.378366
0.624625       0.377378
