n = 1000
x              v
0.75976       0.240532
0.760761       0.239537
0.761762       0.238542
0.762763       0.237547
0.763764       0.236552
0.764765       0.235557
0.765766       0.234562
0.766767       0.233566
0.767768       0.232571
0.768769       0.231576
0.76977        0.23058
0.770771       0.229585
0.771772       0.228589
0.772773       0.227594
0.773774       0.226598
0.774775       0.225603
0.775776       0.224607
0.776777       0.223611
0.777778       0.222616
0.778779        0.22162
0.77978       0.220624
0.780781       0.219628
0.781782       0.218632
0.782783       0.217636
0.783784        0.21664
0.784785       0.215644
0.785786       0.214648
0.786787       0.213652
0.787788       0.212656
0.788789        0.21166
0.78979       0.210664
0.790791       0.209668
0.791792       0.208671
0.792793       0.207675
0.793794       0.206679
0.794795       0.205682
0.795796       0.204686
0.796797       0.203689
0.797798       0.202693
0.798799       0.201696
0.7998         0.2007
0.800801       0.199703
0.801802       0.198706
0.802803        0.19771
0.803804       0.196713
0.804805       0.195716
0.805806        0.19472
0.806807       0.193723
0.807808       0.192726
0.808809       0.191729
0.80981       0.190732
0.810811       0.189735
0.811812       0.188738
0.812813       0.187741
0.813814       0.186744
0.814815       0.185747
0.815816        0.18475
0.816817       0.183753
0.817818       0.182756
0.818819       0.181759
0.81982       0.180762
0.820821       0.179765
0.821822       0.178767
0.822823        0.17777
0.823824       0.176773
0.824825       0.175775
0.825826       0.174778
0.826827       0.173781
0.827828       0.172783
0.828829       0.171786
0.82983       0.170789
0.830831       0.169791
0.831832       0.168794
0.832833       0.167796
0.833834       0.166799
0.834835       0.165801
0.835836       0.164803
0.836837       0.163806
0.837838       0.162808
0.838839        0.16181
0.83984       0.160813
0.840841       0.159815
0.841842       0.158817
0.842843        0.15782
0.843844       0.156822
0.844845       0.155824
0.845846       0.154826
0.846847       0.153828
0.847848       0.152831
0.848849       0.151833
0.84985       0.150835
0.850851       0.149837
0.851852       0.148839
0.852853       0.147841
0.853854       0.146843
0.854855       0.145845
0.855856       0.144847
0.856857       0.143849
0.857858       0.142851
0.858859       0.141853
0.85986       0.140855
0.860861       0.139857
0.861862       0.138859
0.862863        0.13786
0.863864       0.136862
0.864865       0.135864
0.865866       0.134866
0.866867       0.133868
0.867868       0.132869
0.868869       0.131871
0.86987       0.130873
0.870871       0.129875
0.871872       0.128876
0.872873       0.127878
0.873874        0.12688
0.874875       0.125881
0.875876       0.124883
0.876877       0.123885
0.877878       0.122886
0.878879       0.121888
0.87988       0.120889
0.880881       0.119891
0.881882       0.118892
0.882883       0.117894
0.883884       0.116895
0.884885       0.115897
0.885886       0.114898
0.886887         0.1139
0.887888       0.112901
0.888889       0.111903
0.88989       0.110904
0.890891       0.109906
0.891892       0.108907
0.892893       0.107908
0.893894        0.10691
0.894895       0.105911
0.895896       0.104913
0.896897       0.103914
0.897898       0.102915
0.898899       0.101917
0.8999       0.100918
0.900901      0.0999191
0.901902      0.0989204
0.902903      0.0979217
0.903904      0.0969229
0.904905      0.0959241
0.905906      0.0949254
0.906907      0.0939266
0.907908      0.0929278
0.908909       0.091929
0.90991      0.0909302
0.910911      0.0899313
0.911912      0.0889325
0.912913      0.0879336
0.913914      0.0869348
0.914915      0.0859359
0.915916       0.084937
0.916917      0.0839381
0.917918      0.0829392
0.918919      0.0819403
0.91992      0.0809414
0.920921      0.0799424
0.921922      0.0789435
0.922923      0.0779445
0.923924      0.0769455
0.924925      0.0759466
0.925926      0.0749476
0.926927      0.0739486
0.927928      0.0729496
0.928929      0.0719506
0.92993      0.0709515
0.930931      0.0699525
0.931932      0.0689535
0.932933      0.0679544
0.933934      0.0669553
0.934935      0.0659563
0.935936      0.0649572
0.936937      0.0639581
0.937938       0.062959
0.938939      0.0619599
0.93994      0.0609608
0.940941      0.0599617
0.941942      0.0589626
0.942943      0.0579634
0.943944      0.0569643
0.944945      0.0559651
0.945946       0.054966
0.946947      0.0539668
0.947948      0.0529676
0.948949      0.0519684
0.94995      0.0509692
0.950951        0.04997
0.951952      0.0489708
0.952953      0.0479716
0.953954      0.0469724
0.954955      0.0459732
0.955956      0.0449739
0.956957      0.0439747
0.957958      0.0429754
0.958959      0.0419762
0.95996      0.0409769
0.960961      0.0399777
0.961962      0.0389784
0.962963      0.0379791
0.963964      0.0369798
0.964965      0.0359805
0.965966      0.0349812
0.966967      0.0339819
0.967968      0.0329826
0.968969      0.0319833
0.96997      0.0309839
0.970971      0.0299846
0.971972      0.0289853
0.972973      0.0279859
0.973974      0.0269866
0.974975      0.0259872
0.975976      0.0249878
0.976977      0.0239885
0.977978      0.0229891
0.978979      0.0219897
0.97998      0.0209903
0.980981      0.0199909
0.981982      0.0189915
0.982983      0.0179921
0.983984      0.0169927
0.984985      0.0159933
0.985986      0.0149939
0.986987      0.0139945
0.987988       0.012995
0.988989      0.0119956
0.98999      0.0109962
0.990991     0.00999672
0.991992     0.00899727
0.992993     0.00799781
0.993994     0.00699835
0.994995     0.00599889
0.995996     0.00499942
0.996997     0.00399995
0.997998     0.00300047
0.998999     0.00200098
1      0.0010015
